station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
JRB,2019-12-11 00:56,51.00,44.00,76.86,260.00,5.00,0.00,29.97,1014.90,M,M,FEW,BKN,OVC,M,3500.00,7000.00,9000.00,M,M,M,M,M,M,M,M,51.10,KJRB 110056Z AUTO 26005KT FEW035 BKN070 OVC090 11/07 A2997 RMK AO2 SLP149 T01060067 PWINO,M
JRB,2019-12-11 01:56,49.00,43.00,79.98,0.00,0.00,0.01,30.02,1016.40,M,M,BKN,OVC,M,M,2500.00,3300.00,M,M,M,M,M,M,M,M,M,48.90,KJRB 110156Z AUTO 00000KT BKN025 OVC033 09/06 A3002 RMK AO2 SLP164 P0001 T00940061 PWINO,M
JRB,2019-12-11 02:56,46.00,38.00,73.18,M,4.00,0.00,30.06,1018.10,M,M,SCT,BKN,OVC,M,2900.00,8000.00,9000.00,M,M,M,M,M,M,M,M,43.77,KJRB 110256Z AUTO VRB04KT SCT029 BKN080 OVC090 08/03 A3006 RMK AO2 SLP181 60001 T00780033 53016 PWINO,M
JRB,2019-12-11 03:56,44.00,35.00,70.43,M,3.00,0.00,30.09,1019.00,M,M,FEW,OVC,M,M,6000.00,8000.00,M,M,M,M,M,M,M,M,M,42.52,KJRB 110356Z AUTO VRB03KT FEW060 OVC080 07/02 A3009 RMK AO2 SLP190 T00670017 PWINO,M
JRB,2019-12-11 04:54,41.00,35.60,80.93,280.00,3.00,0.01,30.08,M,M,M,BKN,BKN,OVC,M,1700.00,2800.00,6500.00,M,M,M,M,M,M,M,M,38.98,KJRB 110454Z AUTO 28003KT BKN017 BKN028 OVC065 05/02 A3008 RMK AO2 P0001 401330050 PWINO,M
JRB,2019-12-11 04:56,41.00,36.00,82.22,M,5.00,0.01,30.08,1018.50,M,M,BKN,BKN,OVC,M,1700.00,5000.00,6500.00,M,M,M,M,M,M,M,M,37.08,KJRB 110456Z AUTO VRB05KT BKN017 BKN050 OVC065 05/02 A3008 RMK AO2 SLP185 P0001 T00500022 401330050 PWINO,M
JRB,2019-12-11 05:37,41.00,35.60,80.93,0.00,0.00,0.00,30.11,M,M,M,SCT,SCT,BKN,M,1500.00,3900.00,4600.00,M,M,M,M,M,M,M,M,41.00,KJRB 110537Z AUTO 00000KT SCT015 SCT039 BKN046 05/02 A3011 RMK AO2 PWINO,M
JRB,2019-12-11 05:56,40.00,35.00,82.80,0.00,0.00,0.00,30.11,1019.60,M,M,BKN,BKN,OVC,M,1900.00,4800.00,6000.00,M,M,M,M,M,M,M,M,39.90,KJRB 110556Z AUTO 00000KT BKN019 BKN048 OVC060 04/02 A3011 RMK AO2 SLP196 60002 T00440017 10106 20044 53006 PWINO,M
JRB,2019-12-11 06:37,39.20,35.60,86.79,M,3.00,0.02,30.12,M,M,M,OVC,M,M,M,1300.00,M,M,M,M,M,M,M,M,M,M,36.92,KJRB 110637Z AUTO VRB03KT OVC013 04/02 A3012 RMK AO2 P0002 PWINO,M
JRB,2019-12-11 06:56,38.00,35.00,89.53,270.00,6.00,0.03,30.14,1020.60,M,M,OVC,M,M,M,1100.00,M,M,M,M,M,M,M,M,M,M,32.64,KJRB 110656Z AUTO 27006KT OVC011 03/02 A3014 RMK AO2 SLP206 P0003 T00330017 PWINO,M
JRB,2019-12-11 07:19,37.40,35.60,93.14,250.00,4.00,0.01,30.15,M,M,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,33.73,KJRB 110719Z AUTO 25004KT OVC009 03/02 A3015 RMK AO2 P0001 PWINO,M
JRB,2019-12-11 07:56,37.00,34.00,88.78,260.00,5.00,0.02,30.17,1021.70,M,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,32.33,KJRB 110756Z AUTO 26005KT OVC009 03/01 A3017 RMK AO2 SLP217 P0002 T00280011 PWINO,M
JRB,2019-12-11 08:56,36.00,34.00,92.35,260.00,6.00,0.02,30.19,1022.20,M,M,OVC,M,M,M,900.00,M,M,M,M,M,M,M,M,M,M,30.35,KJRB 110856Z AUTO 26006KT OVC009 02/01 A3019 RMK AO2 SLP222 P0002 60007 T00220011 51026 PWINO FZRANO,M
JRB,2019-12-11 09:56,36.00,34.00,92.35,M,3.00,0.03,30.19,1022.30,M,M,OVC,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,33.26,KJRB 110956Z AUTO VRB03KT OVC007 02/01 A3019 RMK AO2 SLP223 P0003 T00220011 PWINO FZRANO,M
JRB,2019-12-11 10:56,36.00,34.00,92.35,M,4.00,0.03,30.21,1022.80,M,M,OVC,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,32.09,KJRB 111056Z AUTO VRB04KT OVC007 02/01 A3021 RMK AO2 CIG 005V010 SLP228 P0003 T00220011 PWINO FZRANO,M
JRB,2019-12-11 11:56,36.00,34.00,92.35,0.00,0.00,0.01,30.25,1024.40,M,M,BKN,OVC,M,M,700.00,1400.00,M,M,M,M,M,M,M,M,M,36.00,KJRB 111156Z AUTO 00000KT BKN007 OVC014 02/01 A3025 RMK AO2 CIG 005V010 SLP244 P0001 60014 70027 T00220011 10044 20017 53022 PWINO FZRANO,M
JRB,2019-12-11 12:32,37.40,35.60,93.14,80.00,6.00,0.00,30.27,M,M,M,BKN,OVC,M,M,500.00,1400.00,M,M,M,M,M,M,M,M,M,32.03,KJRB 111232Z AUTO 08006KT BKN005 OVC014 03/02 A3027 RMK AO2 CIG 004V008 PWINO,M
JRB,2019-12-11 12:56,36.00,33.00,89.09,M,5.00,0.00,30.28,1025.50,M,M,FEW,BKN,OVC,M,600.00,1600.00,4100.00,M,M,M,M,M,M,M,M,31.15,KJRB 111256Z AUTO VRB05KT FEW006 BKN016 OVC041 02/01 A3028 RMK AO2 SLP255 T00220006 PWINO FZRANO,M
JRB,2019-12-11 13:08,35.60,33.80,93.08,100.00,3.00,0.00,30.29,M,M,M,SCT,OVC,M,M,1600.00,4100.00,M,M,M,M,M,M,M,M,M,32.80,KJRB 111308Z AUTO 10003KT SCT016 OVC041 02/01 A3029 RMK AO2 PWINO FZRANO,M
JRB,2019-12-11 13:29,35.60,33.80,93.08,M,6.00,0.00,30.31,M,M,M,BKN,OVC,M,M,1600.00,4300.00,M,M,M,M,M,M,M,M,M,29.87,KJRB 111329Z AUTO VRB06KT BKN016 OVC043 02/01 A3031 RMK AO2 PWINO FZRANO,M
JRB,2019-12-11 13:44,35.60,32.00,86.59,M,3.00,0.01,30.31,M,M,M,BKN,OVC,M,M,1000.00,1600.00,M,M,M,M,M,M,M,M,M,32.80,KJRB 111344Z AUTO VRB03KT BKN010 OVC016 02/00 A3031 RMK AO2 CIG 007V013 P0001 PWINO FZRANO,M
