station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SCH,2019-12-11 00:59,35.60,32.00,86.59,270.00,6.00,0.00,30.00,M,10.00,M,SCT,OVC,M,M,2800.00,3600.00,M,M,M,M,M,M,M,M,M,29.87,KSCH 110059Z 27006KT 10SM SCT028 OVC036 02/00 A3000,M
SCH,2019-12-11 01:46,35.60,30.20,80.51,290.00,12.00,0.00,30.04,M,10.00,M,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,26.58,KSCH 110146Z 29012KT 10SM OVC042 02/M01 A3004,M
SCH,2019-12-11 02:45,33.80,30.20,86.49,290.00,10.00,0.00,30.06,M,10.00,M,SCT,SCT,OVC,M,2500.00,3200.00,5000.00,M,M,M,M,M,M,M,M,25.23,KSCH 110245Z 29010KT 10SM SCT025 SCT032 OVC050 01/M01 A3006 RMK LAST,M
SCH,2019-12-11 12:45,26.60,15.80,63.27,280.00,10.00,0.00,30.25,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.20,KSCH 111245Z 28010KT 10SM CLR M03/M09 A3025 RMK FIRST,M
SCH,2019-12-11 14:45,26.60,12.20,54.03,270.00,5.00,0.00,30.29,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.98,KSCH 111445Z 27005KT 10SM CLR M03/M11 A3029,M
SCH,2019-12-11 15:45,30.20,12.20,46.62,270.00,3.00,0.00,30.27,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.63,KSCH 111545Z 27003KT 10SM CLR M01/M11 A3027,M
SCH,2019-12-11 19:47,33.80,15.80,47.22,220.00,8.00,0.00,30.18,M,10.00,M,SCT,SCT,M,M,4800.00,5500.00,M,M,M,M,M,M,M,M,M,26.33,KSCH 111947Z 22008KT 10SM SCT048 SCT055 01/M09 A3018,M
SCH,2019-12-11 20:45,33.80,15.80,47.22,260.00,5.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.53,KSCH 112045Z 26005KT 10SM CLR 01/M09 A3018,M
SCH,2019-12-11 21:52,32.00,15.80,50.75,170.00,4.00,0.00,30.20,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,27.42,KSCH 112152Z 17004KT 10SM BKN075 00/M09 A3020,M
SCH,2019-12-11 22:53,30.20,17.60,59.01,250.00,4.00,0.00,30.22,M,10.00,M,BKN,M,M,M,7000.00,M,M,M,M,M,M,M,M,M,M,25.32,KSCH 112253Z 25004KT 10SM BKN070 M01/M08 A3022,M
SCH,2019-12-11 23:50,30.20,15.80,54.59,260.00,5.00,0.00,30.25,M,10.00,M,BKN,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,24.26,KSCH 112350Z 26005KT 10SM BKN075 M01/M09 A3025,M
SCH,2019-12-12 00:59,30.20,10.40,43.04,280.00,10.00,0.00,30.29,M,10.00,17.00,SCT,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,20.71,KSCH 120059Z 28010G17KT 10SM SCT065 M01/M12 A3029,M
SCH,2019-12-12 01:51,28.40,14.00,54.31,290.00,15.00,0.00,30.34,M,10.00,25.00,SCT,BKN,OVC,M,3400.00,4500.00,6500.00,M,M,M,M,M,M,M,M,16.11,KSCH 120151Z 29015G25KT 10SM SCT034 BKN045 OVC065 M02/M10 A3034,M
SCH,2019-12-12 02:50,26.60,10.40,49.88,280.00,14.00,0.00,30.37,M,10.00,19.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.20,KSCH 120250Z 28O14G19KT 10SM CLR M03/M12 A3037 RMK LAST,M
SCH,2019-12-12 12:45,15.80,10.40,78.84,0.00,0.00,0.00,30.66,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,15.80,KSCH 121245Z 00000KT 10SM CLR M09/M12 A3066 RMK FIRST,M
SCH,2019-12-12 13:50,19.40,10.40,67.51,0.00,0.00,0.00,30.71,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.40,KSCH 121350Z 00000KT 10SM CLR M07/M12 A3071,M
SCH,2019-12-12 15:45,55.40,12.20,17.70,290.00,8.00,0.00,30.72,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,KSCH 121545Z 29008KT 10SM CLR 13/M11 A3072,M
SCH,2019-12-12 19:53,28.40,12.20,50.17,290.00,3.00,0.00,30.65,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.57,KSCH 121953Z 29003KT 10SM CLR M02/M11 A3065,M
SCH,2019-12-12 20:52,28.40,12.20,50.17,170.00,3.00,0.00,30.65,M,15.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.57,KSCH 122052Z 17003KT 15SM CLR M02/M11 A3065,M
SCH,2019-12-12 21:46,28.40,12.20,50.17,170.00,3.00,0.00,30.65,M,15.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,24.57,KSCH 122146Z 17003KT 15SM CLR M02/M11 A3065,M
SCH,2019-12-12 23:51,26.60,14.00,58.49,150.00,3.00,0.00,30.63,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.52,KSCH 122351Z 15003KT 10SM CLR M03/M10 A3063,M
SCH,2019-12-13 00:54,26.60,14.00,58.49,170.00,4.00,0.00,30.61,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.11,KSCH 130054Z 17004KT 10SM CLR M03/M10 A3061,M
SCH,2019-12-13 01:52,26.60,14.00,58.49,160.00,4.00,0.00,30.60,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.11,KSCH 130152Z 16004KT 10SM CLR M03/M10 A3060,M
SCH,2019-12-13 02:47,26.60,14.00,58.49,170.00,5.00,0.00,30.58,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.98,KSCH 130247Z 17005KT 10SM CLR M03/M10 A3058 RMK LAST,M
SCH,2019-12-13 12:55,19.40,15.80,85.63,360.00,4.00,0.00,30.43,M,10.00,M,BKN,M,M,M,23000.00,M,M,M,M,M,M,M,M,M,M,12.71,KSCH 131255Z 36004KT 10SM BKN230 M07/M09 A3043 RMK FIRST,M
SCH,2019-12-13 13:50,24.80,19.40,79.62,340.00,5.00,0.00,30.42,M,10.00,M,BKN,M,M,M,4100.00,M,M,M,M,M,M,M,M,M,M,17.84,KSCH 131350Z 34005KT 10SM BKN041 M04/M07 A3042,M
