feature,mse,mae,rmse,bias
mslp,0.0021157125524409516,0.03491146409495459,0.045996875463893756,-0.019685033770030273
alti,0.00540962733526842,0.06068780396072149,0.07355016883235836,-0.05232022042676589
relh,0.009268692131663071,0.07244433183055499,0.09627404703066694,-0.045963930527426825
feel,0.010803098583717877,0.08143839219036325,0.10393795545284637,-0.023292905977144295
dwpf,0.020342840953318203,0.11422350728304742,0.1426283315239935,-0.10432690587608477
tmpf,0.023634324627285003,0.12219034786755802,0.1537345915117512,-0.11053125815161452
p01i,0.17364867707300485,0.12471197670368316,0.41671174338264677,0.003061261293996011
vsby,0.0424879804873242,0.1515125914458628,0.20612612761929092,-0.0251949881017659
sknt,0.06632713683007406,0.1929339442351413,0.25754055375818785,-0.0009666582559788039
drct,0.25869323122702054,0.3132937078412714,0.5086189450138684,0.09293295250484358
