station,valid,feel,relh,tmpf,vsby,sknt,mslp,p01i,alti,dwpf,drct
NYC,2026-01-20 00:51,24.33,51.01,31.00,10.00,6.00,1015.90,0.00,30.02,15.00,M
NYC,2026-01-20 01:51,M,53.28,31.00,10.00,M,1016.70,0.00,30.05,16.00,M
NYC,2026-01-20 02:51,21.92,48.49,29.00,10.00,6.00,1017.50,0.00,30.07,12.00,M
NYC,2026-01-20 03:51,19.51,42.07,27.00,10.00,6.00,1018.30,0.00,30.09,7.00,M
NYC,2026-01-20 04:51,13.00,34.85,26.00,10.00,15.00,1018.80,0.00,30.11,2.00,270.00
NYC,2026-01-20 05:51,15.03,37.88,24.00,10.00,7.00,1019.50,0.00,30.13,2.00,280.00
NYC,2026-01-20 06:51,13.03,43.34,23.00,10.00,8.00,1020.30,0.00,30.15,4.00,270.00
NYC,2026-01-20 07:51,13.33,45.03,21.00,10.00,5.00,1020.90,0.00,30.17,3.00,M
NYC,2026-01-20 08:51,10.15,44.86,20.00,10.00,7.00,1021.70,0.00,30.19,2.00,250.00
NYC,2026-01-20 09:51,5.46,46.82,19.00,10.00,12.00,1022.20,0.00,30.21,2.00,280.00
NYC,2026-01-20 10:51,7.71,48.88,18.00,10.00,7.00,1022.90,0.00,30.23,2.00,250.00
NYC,2026-01-20 11:51,11.54,51.03,17.00,10.00,3.00,1023.70,0.00,30.25,2.00,M
NYC,2026-01-20 12:51,4.40,48.54,16.00,10.00,8.00,1024.50,0.00,30.28,0.00,260.00
NYC,2026-01-20 13:51,6.26,46.31,16.00,10.00,6.00,1025.20,0.00,30.30,-1.00,280.00
NYC,2026-01-20 14:51,2.25,44.17,16.00,10.00,11.00,1025.70,0.00,30.31,-2.00,270.00
NYC,2026-01-20 15:51,3.63,35.10,18.00,10.00,13.00,1026.30,0.00,30.33,-5.00,280.00
NYC,2026-01-20 16:51,8.10,33.63,19.00,10.00,8.00,1026.20,0.00,30.32,-5.00,260.00
NYC,2026-01-20 17:51,8.10,33.63,19.00,10.00,8.00,1025.70,0.00,30.31,-5.00,280.00
NYC,2026-01-20 18:51,9.33,35.46,20.00,10.00,8.00,1025.40,0.00,30.30,-3.00,270.00
NYC,2026-01-20 19:51,9.84,30.88,21.00,10.00,9.00,1026.00,0.00,30.32,-5.00,270.00
NYC,2026-01-20 20:51,8.00,32.40,21.00,10.00,12.00,1026.70,0.00,30.34,-4.00,280.00
NYC,2026-01-20 21:51,M,35.46,20.00,10.00,M,1027.90,0.00,30.37,-3.00,M
NYC,2026-01-20 22:51,8.59,35.46,20.00,10.00,9.00,1029.30,0.00,30.41,-3.00,280.00
NYC,2026-01-20 23:51,8.93,38.81,19.00,10.00,7.00,1030.10,0.00,30.44,-2.00,260.00
NYC,2026-01-21 00:51,10.96,38.81,19.00,10.00,5.00,1030.80,0.00,30.46,-2.00,M
NYC,2026-01-21 01:51,12.24,38.81,19.00,10.00,4.00,1031.20,0.00,30.47,-2.00,M
NYC,2026-01-21 02:51,8.93,38.81,19.00,10.00,7.00,1032.30,0.00,30.50,-2.00,240.00
NYC,2026-01-21 03:51,10.96,38.81,19.00,10.00,5.00,1032.80,0.00,30.52,-2.00,M
NYC,2026-01-21 04:51,7.71,40.51,18.00,10.00,7.00,1032.80,0.00,30.52,-2.00,240.00
NYC,2026-01-21 05:51,M,38.63,18.00,10.00,M,1032.60,0.00,30.51,-3.00,M
NYC,2026-01-21 06:51,18.00,40.51,18.00,10.00,0.00,1033.10,0.00,30.52,-2.00,0.00
NYC,2026-01-21 07:51,M,40.33,17.00,10.00,M,1033.40,0.00,30.53,-3.00,M
NYC,2026-01-21 08:51,8.67,38.63,18.00,10.00,6.00,1033.20,0.00,30.53,-3.00,290.00
NYC,2026-01-21 09:51,18.00,40.51,18.00,10.00,0.00,1033.90,0.00,30.55,-2.00,0.00
NYC,2026-01-21 10:51,9.77,38.63,18.00,10.00,5.00,1033.40,0.00,30.54,-3.00,M
NYC,2026-01-21 11:51,9.90,44.35,17.00,10.00,4.00,1034.20,0.00,30.56,-1.00,M
NYC,2026-01-21 12:51,13.83,40.69,19.00,10.00,3.00,1034.00,0.00,30.55,-1.00,M
NYC,2026-01-21 13:51,13.33,39.16,21.00,10.00,5.00,1033.90,0.00,30.55,0.00,M
